Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202007,July 2020,4,0,2,Exports,620,Portugal,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,1999,,1147,,,0
HS,2020,202005,May 2020,4,0,2,Exports,516,Namibia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,,,187,,,0
HS,2020,202005,May 2020,4,0,1,Imports,516,Namibia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,,,4709,,,0
HS,2020,202001,January 2020,4,0,1,Imports,616,Poland,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,2815000,,30844,,,0
HS,2020,202003,March 2020,4,0,1,Imports,620,Portugal,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,4,,243,,,0
HS,2020,202005,May 2020,4,0,2,Exports,620,Portugal,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,23050,,4193,,,0
HS,2020,202008,August 2020,4,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,21500,,5610,,,0
HS,2020,202006,June 2020,4,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,83749131,,1962014,,,0
HS,2020,202004,April 2020,4,0,1,Imports,579,Norway,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,90048,,20940,,,0
HS,2020,202001,January 2020,4,0,2,Exports,620,Portugal,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,11176,,13788,,,0
HS,2020,202002,February 2020,4,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,25499,,6194,,,0
HS,2020,202006,June 2020,4,0,2,Exports,554,New Zealand,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,5000,,902,,,0
HS,2020,202003,March 2020,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,1876040,,50703,,,0
HS,2020,202002,February 2020,4,0,2,Exports,372,Ireland,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,33330,,12794,,,0
HS,2020,202002,February 2020,4,0,1,Imports,372,Ireland,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3996730,,161117,,,0
HS,2020,202002,February 2020,4,0,1,Imports,392,Japan,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,49073000,,3684920,,,0
HS,2020,202003,March 2020,4,0,2,Exports,372,Ireland,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,28817,,7755,,,0
